	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_97	10-TaxaFilter_97	11-MultipletonsFilter_97	12-Subsampling_97	13-Lulu_97	14-RareSeqsFilter_97
105301	51552	40874	40874	40874 (9586 uniques)	40196 (134 uniques)	39547 (103 uniques)	39519 (94 uniques)	39452 (90 uniques)	39452 (90 uniques)	39452 (90 uniques)	39452 (65 uniques)	4394 (55 uniques)	4394 (55 uniques)	3700 (54 uniques)	3700 (54 uniques)	3697 (52 uniques)
105302	46433	34936	34936	34936 (15179 uniques)	32916 (388 uniques)	31214 (294 uniques)	31214 (283 uniques)	31096 (279 uniques)	31096 (279 uniques)	31096 (279 uniques)	31096 (232 uniques)	30184 (207 uniques)	30184 (207 uniques)	3700 (154 uniques)	3700 (154 uniques)	3692 (148 uniques)
105303	8224	6539	6539	6539 (2856 uniques)	6436 (77 uniques)	6310 (75 uniques)	6310 (71 uniques)	6310 (71 uniques)	6310 (71 uniques)	6310 (71 uniques)	6310 (62 uniques)	6191 (56 uniques)	6191 (56 uniques)	3700 (56 uniques)	3700 (56 uniques)	3698 (55 uniques)
105304	101933	82757	82757	82757 (46574 uniques)	78333 (1604 uniques)	65466 (1295 uniques)	65416 (1228 uniques)	65416 (1228 uniques)	65416 (1228 uniques)	65416 (1228 uniques)	65416 (877 uniques)	65218 (872 uniques)	65218 (872 uniques)	3700 (672 uniques)	3700 (672 uniques)	3686 (660 uniques)
105305	55928	45481	45481	45481 (19783 uniques)	42588 (572 uniques)	39901 (387 uniques)	39870 (373 uniques)	39666 (365 uniques)	39666 (365 uniques)	39666 (365 uniques)	39666 (335 uniques)	36715 (300 uniques)	36715 (300 uniques)	3700 (187 uniques)	3700 (187 uniques)	3676 (169 uniques)
105306	30317	24770	24770	24770 (10078 uniques)	24120 (202 uniques)	23640 (198 uniques)	23638 (180 uniques)	23629 (179 uniques)	23629 (179 uniques)	23629 (179 uniques)	23629 (145 uniques)	23416 (134 uniques)	23416 (134 uniques)	3700 (118 uniques)	3700 (118 uniques)	3695 (114 uniques)
105307	42770	35018	35018	35018 (6912 uniques)	34641 (48 uniques)	34548 (46 uniques)	34548 (44 uniques)	34514 (40 uniques)	34514 (40 uniques)	34514 (40 uniques)	34514 (31 uniques)	1110 (24 uniques)	1110 (24 uniques)	/	/	/
105308	45265	35323	35323	35323 (21282 uniques)	33039 (918 uniques)	26955 (686 uniques)	26952 (665 uniques)	26930 (664 uniques)	26930 (664 uniques)	26930 (664 uniques)	26930 (525 uniques)	26796 (517 uniques)	26796 (517 uniques)	3700 (467 uniques)	3700 (467 uniques)	3688 (455 uniques)
105309	57965	45673	45673	45673 (22359 uniques)	42317 (1189 uniques)	35766 (774 uniques)	35729 (759 uniques)	35726 (758 uniques)	35726 (758 uniques)	35726 (758 uniques)	35726 (717 uniques)	34116 (677 uniques)	34116 (677 uniques)	3700 (483 uniques)	3700 (483 uniques)	3624 (421 uniques)
105310	49346	39404	39404	39404 (21456 uniques)	37697 (1436 uniques)	31826 (1113 uniques)	31806 (1101 uniques)	31772 (1099 uniques)	31772 (1099 uniques)	31772 (1099 uniques)	31772 (983 uniques)	31190 (955 uniques)	31190 (955 uniques)	3700 (761 uniques)	3700 (760 uniques)	3608 (688 uniques)
