"OTU","Size","kingdom","phylum","class","order","family","genus"
"Otu16537",6,"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"Otu16538",8,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured"
"Otu16541",5,"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24","11-24_fa","11-24_ge"
"Otu16542",9,"Bacteria","Actinobacteria","MB-A2-108","MB-A2-108_or","MB-A2-108_fa","MB-A2-108_ge"
"Otu16543",12,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu16544",8,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"Otu16546",8,"Bacteria","Planctomycetes","OM190","OM190_or","OM190_fa","OM190_ge"
"Otu16547",4,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"Otu16549",8,"Bacteria","Elusimicrobia","Elusimicrobia","Lineage_IV","Lineage_IV_fa","Lineage_IV_ge"
"Otu16550",6,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu16551",13,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839","A0839_ge"
"Otu16553",11,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"Otu16554",14,"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","AT-s3-44"
"Otu16555",20,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu16556",7,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu16557",13,"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group"
